,coin,time,addresses_active_count,addresses_new_non_zero_count,addresses_count,addresses_receiving_count,addresses_sending_count,transactions_transfers_volume_sum,mining_hash_rate_mean,mining_difficulty_latest
190,ETH,1541376000,262431,48016,40725681,174307,108088,2354912.49822576,210050092133231.0,3075258893451910.0
191,ETH,1563148800,298680,61896,54700599,175087,134026,3035771.43375605,167332900609680.0,2258998355112080.0
192,ETH,1580428800,199320,38627,66043024,108200,78317,1912738.42714383,154438801837392.0,2067913843767380.0
193,ETH,1445126400,1340,103,23623,1221,805,181316.17194571,341853814178.031,5882682633080.0
194,ETH,1446336000,2128,497,26945,2027,1139,145524.373663244,464372588459.855,7697394352697.0
195,ETH,1448668800,1651,58,31521,1572,1032,120693.887101131,447539756341.36,7610444708322.0
196,ETH,1451174400,2214,141,34999,1841,1428,79394.4092179251,498813183791.087,8445784297364.0
197,ETH,1470787200,20357,2284,425259,18848,9194,4821276.45791814,4122562967626.33,59310243489295.0
198,ETH,1496966400,98331,35641,2324073,82561,56111,16040384.4285109,38592124094668.6,649693599386205.0
199,ETH,1530403200,193411,29328,34351375,147693,78678,1003347.23941964,226951171811364.0,3343862156986760.0
200,ETH,1554508800,222522,46064,47303080,138125,108796,1866839.78686008,137574010405233.0,1814132589754730.0
201,ETH,1561420800,321003,82865,53369303,195254,137000,2875415.77335171,155394741116915.0,2107684909730350.0
202,ETH,1562889600,298916,72673,54535617,168256,112850,1853217.08542552,166359297147639.0,2211925968279150.0
203,ETH,1593129600,379735,107625,77247833,221832,149012,2795839.68511981,179478521645848.0,2434394294756380.0
204,ETH,1598313600,383953,95719,83394574,235978,165196,2760317.86506018,205154102079799.0,2707087983419940.0
205,ETH,1603584000,349205,87807,88504834,186005,147295,1386994.44633822,251819053687743.0,3345049351051550.0
206,ETH,1614297600,505479,136071,103661456,308366,246818,4138174.6137818,397926921006353.0,5430081057677760.0
207,ETH,1445385600,1520,247,24123,1411,855,697034.053117222,339309075117.105,5996801348240.0
208,ETH,1505088000,173113,50925,6189104,132142,84924,14878827.7543058,94934370538823.5,2370104267126490.0
209,ETH,1525910400,377753,89174,30121943,263511,150010,2138241.34246727,215591948504851.0,3265068919211130.0
210,ETH,1526601600,402564,104999,30858283,274379,139590,1647457.2606967,210939128674200.0,3300676806448940.0
211,ETH,1527206400,382613,87404,31488926,248919,138837,1806529.23983565,208822952071383.0,3172282586596140.0
212,ETH,1548547200,200010,35384,44363891,134199,78186,1864970.89008751,158961012506299.0,2719266363662180.0
213,ETH,1558396800,325200,94058,50336845,208743,150728,2834930.53828748,151079870302668.0,2061246179757110.0
214,ETH,1600387200,426767,91345,85303042,261101,191322,6537696.36058219,232270049671359.0,3109622033042480.0
215,ETH,1442016000,1543,118,20150,1425,932,217733.169845804,397079110994.839,6954324825068.0
216,ETH,1444089600,1415,83,22520,1308,885,506641.16352543,348909348855.123,6089175906202.0
217,ETH,1469404800,23698,3761,379920,21227,11286,9712784.49243938,4049352589527.4,58688090610562.0
218,ETH,1491264000,35370,9327,1149522,31162,21500,8434075.28218576,16508511541453.4,242830448402895.0
